freq_index,length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
86,0.028877920179224727,0.00890840449143405,0.0005782277819084291,0.007383544943225917,0.0011426044711426123,0.0010112936038579514,0.0002003185895841513,0.0002794409198547477,0.00500414049744013,0.014511657294942372,0.0016414949031018499
87,0.030355974809447333,0.00951810040284152,0.0006139433817632162,0.007575695046144931,0.001210214616499137,0.001030496177981742,0.000209146614802714,0.000290839566816738,0.005282414493276112,0.015411875734281778,0.0017360684586994683
88,0.0318650944315972,0.010108316567406725,0.0006495739486235291,0.00784809405530863,0.0012723765340610523,0.001062287101105078,0.0002198081268970646,0.0002988478752659328,0.005598616911404168,0.01625517944791424,0.0018254278681764555
89,0.03281240261609281,0.010664527837316789,0.0006804781043855705,0.00807217460366624,0.0013237385199734227,0.001082750621126659,0.0002281411147829312,0.00030326927590429485,0.005883375136413385,0.01691196836642365,0.0019005707173205134
90,0.03371775387531489,0.011033031477856992,0.0007075851236409809,0.008272927347107313,0.001375045738558271,0.0010882252039600962,0.00023315551306181287,0.0003088219091296196,0.006175793966843714,0.017519165923939414,0.001968189851561589
91,0.03479966476782045,0.011449862920229708,0.0007389060207712117,0.008435046050085951,0.0014238807729524167,0.0011005953362035513,0.00024309227085528683,0.0003132892318477678,0.006400444317812943,0.018098455163376843,0.0020329058540994255
92,0.03578256849032729,0.011862962548412494,0.0007692083104777692,0.008657570946868972,0.0014560415006395597,0.0011328971615774714,0.00025289471895985344,0.0003217923181567026,0.006640596621072114,0.018650421455724916,0.002104503190636042
93,0.036860341456399034,0.012267855862479898,0.0007962444194810307,0.008995294867463373,0.001498302935960874,0.001169970342472418,0.0002617508321259152,0.0003358171048078371,0.006883378200863132,0.01922833593330573,0.002169799967784787
94,0.03793252819213108,0.012700085616230372,0.0008330213378614454,0.00943371475632511,0.0015513743111743262,0.0012047792326158552,0.00027304584744261275,0.00035095681895071,0.007123593074172291,0.019865663193944675,0.0022376317215796132
95,0.038475212766163384,0.012899501703271818,0.0008553137530141802,0.00969265216025547,0.001581524438525907,0.0012224874278502678,0.000279394131320626,0.0003608262527789643,0.007269374915023348,0.02028335801404507,0.0022920132869511693
96,0.03821199450326796,0.013116318491560903,0.0008474426779580946,0.009760321669317597,0.0015666466298981092,0.0012327673756957647,0.00028160174576500756,0.00036588670750755574,0.007309654162297795,0.02032024231716175,0.0022886763164653113
97,0.03742797279832375,0.013414549886883788,0.0008329610660004972,0.009797574424031955,0.0015501683550094491,0.001238793579500113,0.0002832160845621308,0.0003667705928656592,0.007292313065694932,0.020244596609428747,0.0022557441942134306
98,0.03674870699792359,0.013924786997078662,0.0008303200761180612,0.00987278169660426,0.0015506927127861858,0.0012487995053701733,0.00028162143327555255,0.0003741580566660089,0.00730801696207986,0.02048410467840546,0.002245087417500529
99,0.03667241779725943,0.014350127521438978,0.0008256923944795903,0.00989894680122831,0.0015447437763214111,0.001248575839682005,0.0002784721034379741,0.00038030044875334744,0.007311073627637986,0.020685590914825896,0.002248469202672664
100,0.03769727192114835,0.014672461137249695,0.0008213519030690786,0.00985599898580295,0.0015470497680837242,0.0012478271675347096,0.00027781330160240626,0.0003875582594776628,0.007304425485691621,0.02114859979544113,0.0022748899622936154
101,0.03930442843271132,0.014621345854517239,0.0008326712532423029,0.00978063187788968,0.0015875094787991461,0.0012520882694875422,0.00027924834458685634,0.000393868187692628,0.007278067555593614,0.021870421236427268,0.0023538253422993333
102,0.0406293886810986,0.014708853776182109,0.0008560673551476417,0.009854975624464045,0.0016358533308873722,0.0012528469128098654,0.00028244108054323574,0.0003979534411163472,0.007362748185793559,0.022470071244595657,0.0024162704375252793
103,0.04176331693260231,0.014801766148847133,0.0008757165007626833,0.010099485590683287,0.0016740988661993795,0.0012557700424645078,0.00028548073672240054,0.0004034999535599751,0.00743678315955015,0.02292256865335341,0.0024760766186524385
104,0.04286930632235399,0.014828006723033848,0.0008933350480907592,0.010298480293644009,0.001713857462453605,0.0012617007231534418,0.00028891764831409525,0.00040846103014637584,0.007474314588219372,0.023446595490868413,0.00253931874066443
105,0.04366945923857428,0.014959283432557214,0.0009062498140690932,0.010401138618810852,0.0017424021564905916,0.001271054111606446,0.0002902380691201829,0.000413623226074437,0.0074958824992772954,0.02382349493491709,0.0025793987868437127
106,0.0440252562660483,0.015161433919745297,0.0009189610049795748,0.010488430510705976,0.0017621363351001075,0.0012789381417765546,0.0002899775999732575,0.00041414919629025813,0.007486910962346775,0.02398495472485746,0.002604108359386672
107,0.043988446098061934,0.01530811294394346,0.0009232136555275514,0.010567835017816345,0.0017683519726961999,0.001285897929276993,0.0002870917301717682,0.00041412751176464024,0.007426177906752819,0.023952775926732305,0.0026069229366767464
108,0.04390064697360518,0.015785469641139853,0.0009302490608609138,0.010639472387323332,0.001782210460349695,0.0012910333068216619,0.0002842082350111719,0.0004145863989544152,0.007326227218950565,0.0241013806850756,0.0026206613254191272
109,0.0428310276857063,0.016269670197026645,0.0009222554404344132,0.010517690608750529,0.0017638728022575378,0.0013004948028284519,0.00028287670783587357,0.0004139079049748568,0.007164905320352583,0.023863102073100075,0.002578884474377134
110,0.04214203298388429,0.016649521701964574,0.0009185000698068249,0.010466877797349769,0.0017532022734779624,0.001311498754356631,0.00028513526238167466,0.00041384932895501453,0.007072984653325816,0.023707003735784275,0.0025527815691274197
111,0.04128016998518759,0.016887554778388485,0.0009108184841438312,0.010408966398950833,0.0017375800740066453,0.0013176592724833322,0.00028614291633984344,0.0004146889371065358,0.006990188760543937,0.023390226992801647,0.0025148555562270816
112,0.04074619777167021,0.017459010010334983,0.0009076670368215931,0.01035958572999755,0.0017425074283756426,0.00132447477448639,0.00028778176606442796,0.0004210340053732715,0.006977108951231733,0.023419813433689856,0.002510833762474914
113,0.03955605907819757,0.018011699268473916,0.0008960647591904028,0.010157064715428139,0.00172506235725251,0.0013575550001948627,0.00028783622758453756,0.0004282008337589046,0.006925899739289165,0.023089020406428854,0.002459375382359348
114,0.0385188925918655,0.018432876956996632,0.0008828347150366104,0.010112212368504918,0.0017132573015061184,0.001388400459467475,0.0002868064674571972,0.0004335045907183073,0.006885430557810845,0.022871404144894424,0.0024091227360032684
115,0.0372223806618458,0.018621819825907843,0.0008657849880296792,0.00998629637025482,0.0016923411865139482,0.001413675683054758,0.00028912161027465886,0.0004345670583384547,0.006774389625188723,0.022445815119577283,0.0023395129623104685
116,0.03595418301387806,0.019184737359706442,0.0008613115630636168,0.009838430590890533,0.0016828484425497293,0.001436045161675458,0.00028965533224504386,0.0004335710065281806,0.006665917623102369,0.022243198470689764,0.002305213491715009
117,0.03465123437530366,0.019726518967851478,0.0008440594286171358,0.009601049013991855,0.0016495349691874946,0.0014716594744084487,0.0002904766058521484,0.0004303177253375599,0.006502756654326596,0.02191876060334011,0.002236676119749819
118,0.03378482363117275,0.0198885970447787,0.0008203841338110207,0.009351530033557568,0.0016331024727418055,0.001503351056457159,0.00028669876764662823,0.0004232814303826337,0.0063826754615081485,0.02152753054206051,0.0021959270781545495
119,0.03372419651468002,0.020106456766081093,0.0008126074327758295,0.009201761353668288,0.0016217515317361747,0.0015260542358332013,0.0002818215795936276,0.0004175169699227632,0.006231910331332268,0.021594305536640223,0.0021840481096832313
120,0.033734446141257216,0.020710361537648672,0.000817417486834882,0.009246918395977115,0.0016306296213349299,0.0015264106775397686,0.00027585706085114927,0.0004080980830821232,0.006164124874926325,0.02193408907942511,0.0022209107282742933
121,0.033608411081987824,0.020998506107140536,0.0008082069197104344,0.009214502810245722,0.0016104872917654502,0.0015254930699642618,0.00027041313289409845,0.00040073699285438406,0.006105709802452012,0.02202460362543514,0.002235318297770486
122,0.03377853934444598,0.020867978162433378,0.0008070128437001907,0.009170150727181886,0.0016028117481155775,0.0015342167731541307,0.000267568271403289,0.0003884892299104093,0.0060393800634649854,0.021970106891138638,0.0022532433938624256
123,0.03386913188061311,0.02135728514609645,0.0008226199010711405,0.00920647130676763,0.0016095492970291062,0.0015505001097176206,0.00026551571985085803,0.000384070989281977,0.005953159498338082,0.022298215040520056,0.0022777321919872986
124,0.034339402445513215,0.021932418666668792,0.0008402689735391247,0.00936304307102564,0.0016390134149522923,0.0015493065711870715,0.00026494088995071194,0.00038140205972230255,0.005993356603888137,0.02269389202345663,0.002325851637036053
125,0.03409776996024212,0.021344129718951325,0.0008245473773918342,0.009334075658475582,0.0016057782653552382,0.00153926945296093,0.00025787741057018733,0.0003776614883201039,0.005977218423909809,0.022157501521988296,0.002280881526458323
126,0.03378874211762082,0.02080083338182364,0.0008182930227239334,0.009248376782260724,0.001576137186875984,0.0015314536827120615,0.000248576129846905,0.0003808427842991862,0.005837658744546312,0.021628399393451746,0.002248243683606238
127,0.034308860551065475,0.020762482685829278,0.0008256079360323759,0.009221636092484886,0.0015668878100108152,0.0015208339364967535,0.00024876190321658975,0.0003898611004969374,0.005785285462787495,0.021736578265232825,0.0022871773041302887
128,0.03512029268255281,0.020573688976800265,0.0008284993358512423,0.009162571151458208,0.001581342696253933,0.0015127146570243647,0.0002512780958740272,0.0003914567479743293,0.0058919601327744285,0.021834775286527417,0.0023316994531830744
129,0.035744534203069125,0.0203655314682728,0.0008343546025788607,0.009295110233980625,0.0015893023998583135,0.0014929966028056929,0.00025059375911951065,0.0003986324077073614,0.006092669951975049,0.022036930518363838,0.002354150906724123
130,0.036242953580410325,0.020251350616341205,0.0008448536938695765,0.009452925837455104,0.0016044026880121943,0.0014888587319732305,0.00025002066676148136,0.0004014401552985557,0.006275788023697203,0.02234760060239194,0.0023788684487935914
131,0.03639154529097068,0.020130557800406842,0.0008582068764748264,0.009587146304733125,0.0016015848117088205,0.001481431800482878,0.0002472257445478321,0.00040181596480791843,0.006356678791900179,0.02240675005746718,0.0023769084642182533
132,0.0361062988119932,0.019678482961891897,0.0008549546795104866,0.009690407645049973,0.0016018779049465312,0.001465470025047141,0.00024696483985701603,0.0003905563768166215,0.006319464142642804,0.022164307720032497,0.0023670208394823977
133,0.03599022158342807,0.01963605483373006,0.0008595399373206333,0.009822622312242119,0.001608834856778235,0.0014546856803087454,0.00024516950013922224,0.00038742091488185807,0.006272688433898622,0.022332599803582945,0.0023551984731830767
134,0.03587049809261341,0.019776135831329953,0.0008625345147071194,0.009984854145429621,0.0016237720105778519,0.001443144174950633,0.0002445322739432997,0.000384652069700298,0.006293800784580743,0.022517287019473402,0.0023564358626432086
135,0.03625061796672309,0.020150479096085278,0.0008737728073822326,0.01021697776234565,0.0016394778344761673,0.0014555456663542126,0.00024865267436895795,0.0003850564212348331,0.006377143201543324,0.02282244293250848,0.0023825192703536492
136,0.03615769047049148,0.0205910520174017,0.0008774784518711603,0.010369190529211243,0.001654910618689523,0.0014480039736821284,0.0002531279133289904,0.0003766716175263201,0.006417690669719259,0.02288479888024022,0.0023971404602278527
137,0.036341015379227216,0.021427672597306286,0.0008995164167228623,0.01058774163473898,0.0016965589564831103,0.0014751387843445166,0.0002688730844477219,0.0003810539026165483,0.0066169368390420185,0.023152672236238545,0.002430075881493032
138,0.036983737305029116,0.022381074392973488,0.0009199606060092129,0.010845227028006938,0.0017446699871945736,0.0015262111057689535,0.00028060111147699073,0.000389832298998809,0.006827076720954174,0.023641615957763065,0.002476312850245196
139,0.03707107501243478,0.022720182119910396,0.0009160145227588824,0.010912791265184013,0.0017378692380824493,0.0015686734102258635,0.00029388705351904255,0.0004063749139136936,0.00698069761048502,0.02364975332620725,0.0024697203467141334
140,0.0369359503931074,0.022756414923501844,0.0009104973492930778,0.010928591092427572,0.001717704149027962,0.0015600030472622583,0.00030241393720480933,0.0004218726775687725,0.006970076566904931,0.023555576208219006,0.0024619436086113773
141,0.03686920979722815,0.023066863788301077,0.0009218128722401994,0.01100040104851794,0.0017095032838446583,0.0015334101829362747,0.0003156890230837153,0.00044822633562989494,0.0069952734667270335,0.02362462448243478,0.002479579392357252
142,0.03652807076772054,0.022768303826080624,0.0009088663208247417,0.010981479984017746,0.0017061603084132446,0.0014451065689177062,0.00031048354613988556,0.0004509133541613669,0.006903951737418103,0.023536024698570593,0.0024464492181047277
143,0.03490211951791944,0.022379006615918667,0.0008811370020185537,0.010796810708828826,0.0016536981386331777,0.0014572563344862923,0.00030156785149627657,0.00044340787650044286,0.0066299240535764555,0.022951126395173334,0.0023725489849474894
144,0.03496717991520516,0.023188408630997387,0.0009090753633584549,0.010912586503954077,0.0016861061255137126,0.0015091391938242746,0.0003008755266814683,0.0004692755046472028,0.0066896095797790225,0.023670934919101088,0.002436742260681456
145,0.034781332632795495,0.02378450608372095,0.0009130332526282885,0.011098688218130995,0.0016911764124139625,0.0015048554435891299,0.0003048587330983053,0.0004756376517945854,0.006808063803027518,0.024014808052214818,0.002456663259819372
